seed,budget,design,predictor,weighted_mse,se,episodes
1,2,learned,looped_icl,0.6410568952560425,0.006574796978384256,5120
1,2,learned,exact_krr,0.6378012895584106,0.006576919462531805,5120
1,2,uniform,looped_icl,0.6768133640289307,0.006206439342349768,5120
1,2,uniform,exact_krr,0.6760243773460388,0.006202146876603365,5120
1,2,greedy_variance,looped_icl,0.5304535031318665,0.004823619965463877,5120
1,2,greedy_variance,exact_krr,0.5261942744255066,0.004808031488209963,5120
1,2,random,looped_icl,0.7243602871894836,0.007555897813290358,5120
1,2,random,exact_krr,0.7227216362953186,0.007556190714240074,5120
1,4,learned,looped_icl,0.3053082823753357,0.003100612200796604,5120
1,4,learned,exact_krr,0.3030855655670166,0.003097331617027521,5120
1,4,uniform,looped_icl,0.5038495659828186,0.004998620133846998,5120
1,4,uniform,exact_krr,0.5025854110717773,0.004995259456336498,5120
1,4,greedy_variance,looped_icl,0.26734834909439087,0.0024197548627853394,5120
1,4,greedy_variance,exact_krr,0.2651247978210449,0.0024124791380017996,5120
1,4,random,looped_icl,0.5020696520805359,0.0057563791051507,5120
1,4,random,exact_krr,0.49939122796058655,0.005737357772886753,5120
1,6,learned,looped_icl,0.17034807801246643,0.0015444403979927301,5120
1,6,learned,exact_krr,0.16733238101005554,0.0015373443020507693,5120
1,6,uniform,looped_icl,0.31802916526794434,0.0036498266272246838,5120
1,6,uniform,exact_krr,0.3164908289909363,0.0036465039011090994,5120
1,6,greedy_variance,looped_icl,0.14248020946979523,0.0012980734463781118,5120
1,6,greedy_variance,exact_krr,0.13959021866321564,0.0012925365008413792,5120
1,6,random,looped_icl,0.3376084864139557,0.004442981909960508,5120
1,6,random,exact_krr,0.3337275981903076,0.004398219287395477,5120
1,8,learned,looped_icl,0.10383304208517075,0.0011170076904818416,5120
1,8,learned,exact_krr,0.10036484897136688,0.0011060204124078155,5120
1,8,uniform,looped_icl,0.14850394427776337,0.0021348632872104645,5120
1,8,uniform,exact_krr,0.14742355048656464,0.0021345678251236677,5120
1,8,greedy_variance,looped_icl,0.061255812644958496,0.000596689700614661,5120
1,8,greedy_variance,exact_krr,0.059682052582502365,0.00058918003924191,5120
1,8,random,looped_icl,0.2335497885942459,0.003601136151701212,5120
1,8,random,exact_krr,0.22704462707042694,0.003542618826031685,5120
