seed,joint_severity,geometry_draw,method,context_size,depth,tasks_per_geometry,raw_condition_median,transformed_condition_median,condition_reduction_median,geometry_commutator_mean,mean_relative_residual_mean,covariance_relative_residual_mean
17,0.0,0,identity-CG,48,32,4,25401.845703125,25401.845703125,1.0,0.16923674941062927,0.8474206328392029,0.03309926018118858
17,0.0,0,population-PCG,48,32,4,25401.845703125,2050.77734375,9.274470329284668,0.16923674941062927,0.14555557072162628,0.012719525024294853
17,0.0,0,context-PCG,48,32,4,25401.845703125,1006.6260986328125,23.292247772216797,0.16923674941062927,0.12042826414108276,0.011794843710958958
17,0.0,0,hybrid-PCG,48,32,4,25401.845703125,941.3289184570312,21.131776809692383,0.16923674941062927,0.15646106004714966,0.014062021858990192
17,0.0,0,angular-Jacobi-PCG,48,32,4,25401.845703125,928.3929443359375,23.037212371826172,0.16923674941062927,0.161062091588974,0.01259211078286171
17,0.0,1,identity-CG,48,32,4,26329.224609375,26329.224609375,1.0,0.18162328004837036,0.860731840133667,0.03263482451438904
17,0.0,1,population-PCG,48,32,4,26329.224609375,2058.72021484375,10.692209243774414,0.18162328004837036,0.13427886366844177,0.01256396435201168
17,0.0,1,context-PCG,48,32,4,26329.224609375,797.6273803710938,24.73801040649414,0.18162328004837036,0.11736363172531128,0.010876770131289959
17,0.0,1,hybrid-PCG,48,32,4,26329.224609375,775.2017822265625,25.684133529663086,0.18162328004837036,0.136696919798851,0.01203109510242939
17,0.0,1,angular-Jacobi-PCG,48,32,4,26329.224609375,748.1788330078125,25.441125869750977,0.18162328004837036,0.12135181576013565,0.01216701976954937
17,0.0,2,identity-CG,48,32,4,26942.21484375,26942.21484375,1.0,0.18397971987724304,0.7188339829444885,0.02244594506919384
17,0.0,2,population-PCG,48,32,4,26942.21484375,2112.352783203125,10.529276847839355,0.18397971987724304,0.15414196252822876,0.013303757645189762
17,0.0,2,context-PCG,48,32,4,26942.21484375,1121.643798828125,21.711515426635742,0.18397971987724304,0.10259644687175751,0.010430595837533474
17,0.0,2,hybrid-PCG,48,32,4,26942.21484375,1131.586669921875,22.511709213256836,0.18397971987724304,0.16306723654270172,0.01306916680186987
17,0.0,2,angular-Jacobi-PCG,48,32,4,26942.21484375,1071.2041015625,22.944896697998047,0.18397971987724304,0.1645350456237793,0.013376046903431416
17,0.0,3,identity-CG,48,32,4,26963.625,26963.625,1.0,0.21708524227142334,0.9691411256790161,0.03637726604938507
17,0.0,3,population-PCG,48,32,4,26963.625,2545.334228515625,10.51702880859375,0.21708524227142334,0.18795205652713776,0.016313154250383377
17,0.0,3,context-PCG,48,32,4,26963.625,1170.3570556640625,22.124479293823242,0.21708524227142334,0.13002920150756836,0.011960532516241074
17,0.0,3,hybrid-PCG,48,32,4,26963.625,1079.83642578125,19.9150447845459,0.21708524227142334,0.18446096777915955,0.013537251390516758
17,0.0,3,angular-Jacobi-PCG,48,32,4,26963.625,1082.8865966796875,20.519746780395508,0.21708524227142334,0.17659345269203186,0.013106992468237877
17,0.0,4,identity-CG,48,32,4,26686.685546875,26686.685546875,1.0,0.19547779858112335,1.0394656658172607,0.028139036148786545
17,0.0,4,population-PCG,48,32,4,26686.685546875,2703.68603515625,9.352453231811523,0.19547779858112335,0.20097263157367706,0.01563766971230507
17,0.0,4,context-PCG,48,32,4,26686.685546875,1255.3505859375,20.386144638061523,0.19547779858112335,0.15702292323112488,0.013585847802460194
17,0.0,4,hybrid-PCG,48,32,4,26686.685546875,1151.2640380859375,20.226112365722656,0.19547779858112335,0.18655085563659668,0.015666130930185318
17,0.0,4,angular-Jacobi-PCG,48,32,4,26686.685546875,1114.9381103515625,19.78180694580078,0.19547779858112335,0.1944940984249115,0.015409327112138271
17,0.0,5,identity-CG,48,32,4,26549.681640625,26549.681640625,1.0,0.18119043111801147,0.8709838390350342,0.02740226313471794
17,0.0,5,population-PCG,48,32,4,26549.681640625,1614.7122802734375,7.66187858581543,0.18119043111801147,0.2169608473777771,0.01803729310631752
17,0.0,5,context-PCG,48,32,4,26549.681640625,909.9305419921875,24.3870792388916,0.18119043111801147,0.1597433090209961,0.013174101710319519
