task,rank,raw_scaling_exponent,useful_scaling_exponent,marginal_scaling_gain,test_mse,high_low_ratio,bound_proxy,useful_score,plateau_rank,plateau_flag
sparse,1,0.29044943820224717,0.4739682262689674,0.6515505617977528,0.9064442813298529,0.36337900980565485,0.8953263022673468,0.9706758571532049,4,0
sparse,2,0.25493827160493826,0.3398748780120434,0.13409334825692398,0.4952460251738477,0.47282666428950554,0.4895182321536092,0.5125449291072763,4,0
sparse,3,0.25493827160493826,0.3014564905093906,0.03841838750265281,0.313606206594225,0.49084326155259933,0.320975129728339,0.3174586749017252,4,0
sparse,4,0.29044943820224717,0.2904494382022471,0.011007052307143494,0.24951243004206863,0.47775181184522014,0.2586516161357254,0.24951243004206863,4,1
sparse,5,0.34523809523809523,0.29044943820224717,1e-05,0.26167701569381374,0.45447636896637644,0.2595258158129356,0.26167701569381374,4,1
sparse,6,0.41493798449612407,0.29044943820224717,1e-05,0.28572499586518385,0.4275799856484324,0.2760616731680103,0.28572499586518385,4,1
sparse,7,0.4755010938048017,0.29044943820224717,1e-05,0.29227443113035195,0.39946820227065544,0.2892828839833268,0.29227443113035195,4,1
sparse,8,0.5257383998342872,0.29044943820224717,1e-05,0.290332719153822,0.37120873777918695,0.29785841432732796,0.290332719153822,4,1
sparse,9,0.5667545730664988,0.29044943820224717,1e-05,0.29661674868825316,0.34338453798050445,0.3033401332522446,0.29661674868825316,4,1
sparse,10,0.6004190621769657,0.29044943820224717,1e-05,0.3105456872625954,0.3163646499722793,0.30694425551836707,0.3105456872625954,4,1
sparse,11,0.6284839193534069,0.29044943820224717,1e-05,0.31762371081958735,0.2903991207946492,0.3094006111172989,0.31762371081958735,4,1
sparse,12,0.652346225836723,0.29044943820224717,1e-05,0.3120085190612038,0.2656585699321834,0.3111348407993164,0.3120085190612038,4,1
sparse,13,0.6730539037316051,0.29044943820224717,1e-05,0.3050648722570168,0.2422548893223803,0.3124000618312355,0.3050648722570168,4,1
sparse,14,0.6913756067325151,0.29044943820224717,1e-05,0.30869870813991185,0.22025450453803422,0.3133512683122679,0.30869870813991185,4,1
sparse,15,0.7078725995921709,0.29044943820224717,1e-05,0.3186277670411459,0.19968805473953158,0.31408621801824893,0.3186277670411459,4,1
sparse,16,0.7229564560536687,0.29044943820224717,1e-05,0.32146436769533776,0.18055796243092842,0.3146683050069677,0.32146436769533776,4,1
sparse,17,0.736931591574639,0.29044943820224717,1e-05,0.3143637368813075,0.1628445561709858,0.31513971256290807,0.3143637368813075,4,1
sparse,18,0.750025582916356,0.29044943820224717,1e-05,0.30864373307974197,0.14651110341552356,0.3155291904619791,0.30864373307974197,4,1
sparse,19,0.7624105368731534,0.29044943820224717,1e-05,0.3129974956135507,0.13150797680964374,0.3158567745867773,0.3129974956135507,4,1
sparse,20,0.774218142330687,0.29044943820224717,1e-05,0.3212204435378608,0.11777610932728759,0.3161367205346634,0.3212204435378608,4,1
sparse,21,0.7855503269198418,0.29044943820224717,1e-05,0.3217749850309349,0.10524985458323913,0.3163793682879215,0.3217749850309349,4,1
sparse,22,0.7964868627708134,0.29044943820224717,1e-05,0.31455018263782114,0.09385934391580984,0.31659235260729474,0.31455018263782114,4,1
sparse,23,0.8070908469575984,0.29044943820224717,1e-05,0.31054081053479404,0.08353241501180299,0.3167814044764429,0.31054081053479404,4,1
sparse,24,0.8174126911607658,0.29044943820224717,1e-05,0.3156391415785945,0.07419617470033897,0.316950891825304,0.3156391415785945,4,1
sparse,25,0.8274930565302767,0.29044943820224717,1e-05,0.32240741341553786,0.06577824932313502,0.3171041908742629,0.32240741341553786,4,1
sparse,26,0.8373650350650327,0.29044943820224717,1e-05,0.3212858345445117,0.05820776878005955,0.3172439454491897,0.3212858345445117,4,1
sparse,27,0.847055787391074,0.29044943820224717,1e-05,0.3143938150400472,0.05141612433979441,0.3173722509251237,0.3143938150400472,4,1
sparse,28,0.8565877844353368,0.29044943820224717,1e-05,0.3120380306474141,0.045337535220025434,0.3174907866350014,0.3120380306474141,4,1
sparse,29,0.8659797576270805,0.29044943820224717,1e-05,0.3176058467035509,0.039909454543359,0.3176009124990747,0.3176058467035509,4,1
sparse,30,0.8752474325632059,0.29044943820224717,1e-05,0.32296080619690226,0.035072841412839,0.3177037404535345,0.32296080619690226,4,1
sparse,31,0.8844041003178853,0.29044943820224717,1e-05,0.3205577242279421,0.030772322425559436,0.3178001878872787,0.3205577242279421,4,1
sparse,32,0.8934610659367521,0.29044943820224717,1e-05,0.3142678042290225,0.026956262887784962,0.31789101806922077,0.3142678042290225,4,1
sparse,33,0.902428003234308,0.29044943820224717,1e-05,0.3134094321368611,0.023576765263499815,0.31797687105585465,0.3134094321368611,4,1
sparse,34,0.9113132375270521,0.29044943820224717,1e-05,0.31915652789077287,0.020589609945942108,0.31805828755422255,0.31915652789077287,4,1
sparse,35,0.9201239725094088,0.29044943820224717,1e-05,0.32312868187880794,0.017954151261455168,0.31813572751674907,0.32312868187880794,4,1
sparse,36,0.9288664735135079,0.29044943820224717,1e-05,0.31977478071350496,0.015633179674451467,0.31820958475726324,0.31977478071350496,4,1
sparse,37,0.937546216470402,0.29044943820224717,1e-05,0.3142721773182161,0.013592759441746536,0.318280198533866,0.3142721773182161,4,1
sparse,38,0.9461680097179452,0.29044943820224717,1e-05,0.314722109864449,0.011802049446007393,0.31834786279915633,0.314722109864449,4,1
sparse,39,0.9547360941737739,0.29044943820224717,1e-05,0.3203861437641605,0.01023311360473702,0.31841283364161627,0.3203861437641605,4,1
sparse,40,0.9632542261645091,0.29044943820224717,1e-05,0.3230290011227205,0.008860726087081145,0.31847533531330285,0.3230290011227205,4,1
sparse,41,0.9717257462697388,0.29044943820224717,1e-05,0.3190213407088815,0.007662175560504625,0.31853556514444387,0.3190213407088815,4,1
sparse,42,0.9801536368258474,0.29044943820224717,1e-05,0.3144319719404608,0.00661707181842514,0.3185936975754343,0.3144319719404608,4,1
sparse,43,0.9885405701853054,0.29044943820224717,1e-05,0.3159846288167165,0.005707157394292311,0.3186498874843068,0.3159846288167165,4,1
sparse,44,0.996888949401205,0.29044943820224717,1e-05,0.3213401270324544,0.0049161261341779455,0.31870427294823983,0.3213401270324544,4,1
sparse,45,1.0052009426748332,0.29044943820224717,1e-05,0.3227361163595093,0.004229450166296359,0.31875697754765764,0.3227361163595093,4,1
sparse,46,1.0134785126436945,0.29044943820224717,1e-05,0.31834535404702285,0.003634216260421649,0.3188081122985174,0.31834535404702285,4,1
sparse,47,1.021723441382096,0.29044943820224717,1e-05,0.3147450340579239,0.0031189722021750985,0.3188577772806961,0.3147450340579239,4,1
sparse,48,1.029937351823604,0.29044943820224717,1e-05,0.31718597617618766,0.002673583506742737,0.3189060630166743,0.31718597617618766,4,1
sparse,49,1.0381217261849782,0.29044943820224717,1e-05,0.32204683292314007,0.002289100554729199,0.318953051644018,0.32204683292314007,4,1
sparse,50,1.0462779218672913,0.29044943820224717,1e-05,0.3223061326347175,0.0019576360413790044,0.3189988179167571,0.3223061326347175,4,1
dense,1,0.32517241379310347,0.5435628050308425,0.9166153846153846,1.2631748440997739,0.3919147464737058,1.2526829507133237,1.3535372104759533,4,0
dense,2,0.2853846153846154,0.35491739024101054,0.188645414789832,0.7342241099351999,0.5360921243933001,0.735976839870125,0.7585605811349382,4,0
dense,3,0.27,0.3008695739980435,0.05404781624296706,0.5142519314938292,0.5830286856683283,0.5248986208184735,0.5196716670085291,4,0
dense,4,0.2853846153846154,0.28538461538461535,0.015484958613428135,0.44269718184224555,0.5822098083412078,0.4465648714784204,0.44269718184224555,4,1
dense,5,0.32517241379310347,0.2853846153846154,1e-05,0.4553079338981363,0.5644271843290279,0.4473712552596448,0.4553079338981363,4,1
dense,6,0.3758823529411765,0.2853846153846154,1e-05,0.4754880061905036,0.539887896757311,0.4677607115522117,0.4754880061905036,4,1
dense,7,0.4410975609756098,0.2853846153846154,1e-05,0.4810154562518683,0.5125916927662867,0.48445119808860515,0.4810154562518683,4,1
dense,8,0.49799098974610423,0.2853846153846154,1e-05,0.48665080102178226,0.4842672074376144,0.49569218818727306,0.48665080102178226,4,1
dense,9,0.5463837044633262,0.2853846153846154,1e-05,0.5018311579187836,0.45576299940583553,0.5032923712315628,0.5018311579187836,4,1
