task,rank,rank_label,width,test_mse,train_mse,recovery_slope,high_low_ratio,approx_floor,opt_residual,gen_term,bound_proxy,final_step
sparse,1,1,32768,0.9064442813298529,0.3979115991236175,-0.29044943820224717,0.36337900980565485,0.43118266151760565,0.4627333092746301,0.0014103314751110567,0.8953263022673468,1600
sparse,2,2,32768,0.4952460251738477,0.21016472232076186,-0.25493827160493826,0.47282666428950554,0.28011784578033305,0.20716506387163833,0.002235322501637777,0.4895182321536092,1600
sparse,3,3,32768,0.313606206594225,0.12768277397868746,-0.25493827160493826,0.49084326155259933,0.23819762497859645,0.07995684179952046,0.0028206629502221135,0.320975129728339,1600
sparse,4,4,32768,0.24951243004206863,0.09681133116600538,-0.29044943820224717,0.47775181184522014,0.22097195432361266,0.03440497353694845,0.0032746882751642993,0.2586516161357254,1600
sparse,5,5,32768,0.26167701569381374,0.09772385178815082,-0.34523809523809523,0.45447636896637644,0.21228332824561222,0.043596833590574584,0.0036456539767488346,0.2595258158129356,1600
sparse,6,6,32768,0.28572499586518385,0.10639071941730027,-0.41493798449612407,0.4275799856484324,0.20730646521799354,0.064795906941631,0.003959301008385787,0.2760616731680103,1600
sparse,7,7,32768,0.29227443113035195,0.1131795905677225,-0.4755010938048017,0.39946820227065544,0.20419680001281149,0.08085508954518214,0.004230994425333171,0.2892828839833268,1600
sparse,8,8,32768,0.290332719153822,0.11749087238025657,-0.5257383998342872,0.37120873777918695,0.2021268473767579,0.09126092194729452,0.004470645003275556,0.29785841432732796,1600
sparse,9,9,32768,0.29661674868825316,0.12017127823546125,-0.5667545730664988,0.34338453798050445,0.2006809515029619,0.09797416199900735,0.004685019750275357,0.3033401332522446,1600
sparse,10,10,32768,0.3105456872625954,0.12187117045495009,-0.6004190621769657,0.3163646499722793,0.19963191361599505,0.10243339660461345,0.004878945297758571,0.30694425551836707,1600
sparse,11,11,32768,0.31762371081958735,0.12297825390462319,-0.6284839193534069,0.2903991207946492,0.1988471128495005,0.10549751281593851,0.005055985451859891,0.3094006111172989,1600
sparse,12,12,32768,0.3120085190612038,0.12371746829646628,-0.652346225836723,0.2656585699321834,0.19824495258748892,0.10767104160558197,0.00521884660624547,0.3111348407993164,1600
