model,seed,scenario,category,task,depth,auc,average_precision,iou_top7,centroid_error,relative_residual
identity,17,one obstacle,ID,0,8,0.9994082840236685,0.9566666666666667,0.1388888888888889,0.0032724260818213224,0.0027402774430811405
identity,17,one obstacle,ID,1,8,1.0,1.0,0.09722222222222222,0.29437369108200073,0.0015617524040862918
identity,17,one obstacle,ID,2,8,1.0,1.0,0.1111111111111111,0.10661988705396652,0.0015660123899579048
identity,17,one obstacle,ID,3,8,0.9998478277410028,0.9885883347421807,0.18055555555555555,0.08040707558393478,0.2588098347187042
identity,17,one obstacle,ID,4,8,1.0,1.0,0.19444444444444445,0.010357281193137169,0.0022631885949522257
identity,17,one obstacle,ID,5,8,1.0,1.0,0.125,0.09976271539926529,0.001998663181439042
identity,17,one obstacle,ID,6,8,0.9997878359264498,0.9873949579831931,0.19444444444444445,0.006452425383031368,0.07377979159355164
identity,17,one obstacle,ID,7,8,1.0,1.0,0.19444444444444445,0.010763904079794884,0.0022324067540466785
identity,17,one obstacle,ID,8,8,1.0,0.9999999999999999,0.1388888888888889,0.08940813690423965,0.0053615877404809
identity,17,one obstacle,ID,9,8,1.0,1.0,0.19444444444444445,0.07935001701116562,0.03707575052976608
identity,17,one obstacle,ID,10,8,0.9992588932806324,0.9454004329004329,0.16666666666666666,0.009346510283648968,0.058839377015829086
identity,17,one obstacle,ID,11,8,0.999707926864887,0.9827498027074606,0.2361111111111111,0.010012516751885414,0.142775759100914
graph-small,17,one obstacle,ID,0,8,0.9993096646942801,0.9484848484848485,0.1388888888888889,0.0032724260818213224,0.0026847270783036947
graph-small,17,one obstacle,ID,1,8,1.0,1.0,0.09722222222222222,0.29437369108200073,0.0015559322200715542
graph-small,17,one obstacle,ID,2,8,1.0,1.0,0.1111111111111111,0.10661988705396652,0.0015701453667134047
graph-small,17,one obstacle,ID,3,8,0.9998478277410028,0.9885883347421809,0.18055555555555555,0.08040707558393478,0.2603188455104828
graph-small,17,one obstacle,ID,4,8,1.0,1.0,0.19444444444444445,0.010357281193137169,0.0027919013518840075
graph-small,17,one obstacle,ID,5,8,1.0,1.0,0.125,0.09976271539926529,0.0019949814304709435
graph-small,17,one obstacle,ID,6,8,0.9997878359264498,0.9873949579831933,0.19444444444444445,0.002048131776973605,0.06833827495574951
graph-small,17,one obstacle,ID,7,8,1.0,1.0,0.19444444444444445,0.010763904079794884,0.002378161298111081
graph-small,17,one obstacle,ID,8,8,1.0,1.0,0.1388888888888889,0.0964304655790329,0.005459177773445845
graph-small,17,one obstacle,ID,9,8,1.0,1.0,0.19444444444444445,0.07775051891803741,0.0367349348962307
graph-small,17,one obstacle,ID,10,8,0.9993412384716733,0.9504370629370629,0.16666666666666666,0.009346510283648968,0.0563523955643177
graph-small,17,one obstacle,ID,11,8,0.9997663414919096,0.9866713713349116,0.2361111111111111,0.010012516751885414,0.13555248081684113
graph-foundation,17,one obstacle,ID,0,8,0.9994082840236687,0.9566666666666668,0.1388888888888889,0.0032724260818213224,0.00272168405354023
graph-foundation,17,one obstacle,ID,1,8,1.0,1.0,0.09722222222222222,0.29437369108200073,0.0015578820602968335
graph-foundation,17,one obstacle,ID,2,8,1.0,1.0,0.1111111111111111,0.10143058001995087,0.0015833171783015132
graph-foundation,17,one obstacle,ID,3,8,0.9998478277410028,0.9885883347421809,0.18055555555555555,0.08040707558393478,0.25602269172668457
graph-foundation,17,one obstacle,ID,4,8,1.0,1.0,0.19444444444444445,0.010357281193137169,0.002331210533156991
graph-foundation,17,one obstacle,ID,5,8,1.0,1.0,0.125,0.09976271539926529,0.002004021080210805
graph-foundation,17,one obstacle,ID,6,8,0.9997878359264498,0.9873949579831933,0.19444444444444445,0.002048131776973605,0.07366277277469635
graph-foundation,17,one obstacle,ID,7,8,1.0,1.0,0.19444444444444445,0.010763904079794884,0.0024001989513635635
graph-foundation,17,one obstacle,ID,8,8,1.0,1.0,0.1388888888888889,0.08940813690423965,0.005568669643253088
