seed,budget,design,predictor,weighted_mse,se,episodes
0,2,learned,looped_icl,0.5475324392318726,0.004536574240773916,5120
0,2,learned,exact_krr,0.5152202844619751,0.00446522468701005,5120
0,2,uniform,looped_icl,0.6799106001853943,0.0060662985779345036,5120
0,2,uniform,exact_krr,0.6776390075683594,0.006057895720005035,5120
0,2,greedy_variance,looped_icl,0.5359600186347961,0.00474131852388382,5120
0,2,greedy_variance,exact_krr,0.5217347145080566,0.004717475268989801,5120
0,2,random,looped_icl,0.7363017797470093,0.0071811368688941,5120
0,2,random,exact_krr,0.712295413017273,0.007042799610644579,5120
0,4,learned,looped_icl,0.3159640431404114,0.003104204311966896,5120
0,4,learned,exact_krr,0.31369495391845703,0.003100763773545623,5120
0,4,uniform,looped_icl,0.4999026358127594,0.004913322627544403,5120
0,4,uniform,exact_krr,0.4984510540962219,0.004908808507025242,5120
0,4,greedy_variance,looped_icl,0.268632173538208,0.0024966043420135975,5120
0,4,greedy_variance,exact_krr,0.26687926054000854,0.002492297440767288,5120
0,4,random,looped_icl,0.5002919435501099,0.005760942120105028,5120
0,4,random,exact_krr,0.4977744221687317,0.0057405089028179646,5120
0,6,learned,looped_icl,0.15057890117168427,0.0016014580614864826,5120
0,6,learned,exact_krr,0.14911311864852905,0.001598999951966107,5120
0,6,uniform,looped_icl,0.3159855008125305,0.0035798908211290836,5120
0,6,uniform,exact_krr,0.31507962942123413,0.0035824382212013006,5120
0,6,greedy_variance,looped_icl,0.13817109167575836,0.0012788400053977966,5120
0,6,greedy_variance,exact_krr,0.13719117641448975,0.001276052906177938,5120
0,6,random,looped_icl,0.33584827184677124,0.004592545796185732,5120
0,6,random,exact_krr,0.33228686451911926,0.004551644902676344,5120
0,8,learned,looped_icl,0.06769776344299316,0.0006991854170337319,5120
0,8,learned,exact_krr,0.06695515662431717,0.0006982932682149112,5120
0,8,uniform,looped_icl,0.14591112732887268,0.002050224458798766,5120
0,8,uniform,exact_krr,0.14494267106056213,0.002051780465990305,5120
0,8,greedy_variance,looped_icl,0.061512626707553864,0.000599241815507412,5120
0,8,greedy_variance,exact_krr,0.05966547876596451,0.0005940691917203367,5120
0,8,random,looped_icl,0.23417365550994873,0.003605892648920417,5120
0,8,random,exact_krr,0.22885508835315704,0.0035720141604542732,5120
