step,loss,task,train_context,eval_context,depth,d_model,heads,shared,normalize_attention,share_qk,rich_mse,rich_mean_mse,rich_var_mse,rich_kappa,rich_resid_last,trainctx_mse,trainctx_mean_mse,trainctx_var_mse,trainctx_nll,trainctx_exact_nll,trainctx_coverage,trainctx_width,trainctx_exact_coverage,trainctx_exact_width,evalctx_mse,evalctx_mean_mse,evalctx_var_mse,evalctx_nll,evalctx_exact_nll,evalctx_coverage,evalctx_width,evalctx_exact_coverage,evalctx_exact_width
1,1.712209939956665,weak_inverse,128,128,16,128,4,1,0,0,0.024052035063505173,1.4623533495239371e-08,0.0,3.7345523834228516,0.1579117327928543,2.0792789980769157,2.068214274942875,0.8817389979958534,1.9801644831895828,-0.47120876610279083,0.82666015625,3.84430330991745,0.94482421875,0.5926134698092937,2.0921231508255005,2.0707178711891174,0.881795909255743,1.9869699329137802,-0.47626409120857716,0.82275390625,3.844291642308235,0.9541015625,0.5921507403254509
200,1.4258770942687988,weak_inverse,128,128,16,128,4,1,0,0,0.02182159759104252,5.005657044421241e-08,0.0,3.654024600982666,0.20128890872001648,1.0161696523427963,1.0014775283634663,1.0590988025069237,1.4075191766023636,-0.48565530218183994,0.94873046875,3.927611529827118,0.9501953125,0.5928471647202969,1.0778368636965752,1.0633320435881615,1.0657943226397038,1.4385910406708717,-0.48403094336390495,0.94970703125,3.9322655498981476,0.9482421875,0.5930248647928238
400,1.3213491439819336,weak_inverse,128,128,16,128,4,1,0,0,0.02407481148838997,1.247831171724556e-08,0.0,3.6748557090759277,0.13833114504814148,1.0284125730395317,0.9985055103898048,1.6697996631264687,1.422004871070385,-0.45414124242961407,0.96923828125,4.40984907746315,0.94677734375,0.5929549336433411,1.0614814907312393,1.042098842561245,1.6564339399337769,1.4396976307034492,-0.4789913948625326,0.97265625,4.403711497783661,0.95703125,0.5927400663495064
600,1.0158103704452515,weak_inverse,128,128,16,128,4,1,0,0,0.019703615456819534,4.338144421467405e-08,0.0,3.753617286682129,0.22088493406772614,0.44039797224104404,0.4174042660742998,0.20496368687599897,0.9855615980923176,-0.4675231594592333,0.94873046875,2.6083572804927826,0.953125,0.5930151715874672,0.42661758325994015,0.4011003226041794,0.20547891780734062,0.9667937718331814,-0.4645123314112425,0.95654296875,2.6117493957281113,0.95263671875,0.5923259742558002
800,0.6165262460708618,weak_inverse,128,128,16,128,4,1,0,0,0.025123920291662216,2.4929867947776074e-08,0.0,3.719827651977539,0.19521638751029968,0.19179507158696651,0.1693515432998538,0.02145067637320608,0.5838191658258438,-0.4697019141167402,0.92822265625,1.551571935415268,0.94677734375,0.5922326520085335,0.19756558258086443,0.1743862610310316,0.02039169438648969,0.5889953747391701,-0.4775165803730488,0.919921875,1.5373067408800125,0.94873046875,0.5921670719981194
1000,0.500961422920227,weak_inverse,128,128,16,128,4,1,0,0,0.02047053538262844,2.7312099248888444e-08,0.0,3.654926300048828,0.16806228458881378,0.19480318017303944,0.1716275317594409,0.02989011153113097,0.5808449238538742,-0.4475947991013527,0.94091796875,1.7001722902059555,0.9482421875,0.5928152017295361,0.18794821947813034,0.16724735777825117,0.029027611832134426,0.5615549460053444,-0.44994474574923515,0.9453125,1.691289059817791,0.9521484375,0.5927285067737103
1200,0.49176397919654846,weak_inverse,128,128,16,128,4,1,0,0,0.025601215660572052,1.950451711252299e-08,0.0,3.6930136680603027,0.2686302363872528,0.1696917088702321,0.14428656361997128,0.016304963908623904,0.5175527278333902,-0.46305141411721706,0.93115234375,1.4833255410194397,0.951171875,0.5926910601556301,0.15444303583353758,0.12818763870745897,0.015301885548979044,0.47011430375277996,-0.4563144575804472,0.9375,1.4660788178443909,0.94384765625,0.592227641493082
1400,0.62372887134552,weak_inverse,128,128,16,128,4,1,0,0,0.029551208019256592,7.458676520855079e-08,0.0,3.721374988555908,0.18168425559997559,0.18772347457706928,0.16855258541181684,0.023133293725550175,0.58013697527349,-0.4791957475244999,0.93701171875,1.595959521830082,0.9521484375,0.5928387530148029,0.18180670961737633,0.16137520223855972,0.02364713978022337,0.5569410137832165,-0.47207784466445446,0.94091796875,1.6004674062132835,0.947265625,0.5927404761314392
1600,0.4059075117111206,weak_inverse,128,128,16,128,4,1,0,0,0.022041548043489456,7.511598454357227e-08,0.0,3.678445816040039,0.17641261219978333,0.1627244958654046,0.1404913142323494,0.018431112868711352,0.4930197410285473,-0.48751720786094666,0.93505859375,1.502490982413292,0.95703125,0.5924850292503834,0.16349277459084988,0.13888680562376976,0.01871148298960179,0.49695087410509586,-0.4592689014971256,0.94091796875,1.5073379576206207,0.94384765625,0.5928119570016861
1800,0.532874345779419,weak_inverse,128,128,16,128,4,1,0,0,0.021774880588054657,1.617331690795254e-08,0.0,3.6967780590057373,0.23055371642112732,0.1470458242110908,0.1284424550831318,0.03701671049930155,0.46258458122611046,-0.46393139846622944,0.97900390625,1.7676268070936203,0.94921875,0.5926468633115292,0.152536794077605,0.1307869590818882,0.03730482328683138,0.48046535067260265,-0.4787907004356384,0.970703125,1.77227184176445,0.9501953125,0.5929762348532677
