model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,area_matched_iou_mean,area_matched_iou_ci95,area_matched_iou_q10,score_correlation_exact_mean,score_correlation_exact_ci95,score_correlation_exact_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10,success_ap80_mean,success_ap80_ci95,success_ap80_q10
exact,180-degree aperture,OOD aperture,16,0.781038298429738,0.026075784929360604,0.700311176724997,0.9892113936741476,0.0013908148318783754,0.9858152923059749,0.5089027613703621,0.02268570683274692,0.4564393939393939,1.0,0.0,1.0,1.9286770680082554e-05,7.984450633891388e-07,1.7233172911801375e-05,0.375,0.245,0.0
exact,30% noise,OOD noise,16,0.9327353038832926,0.01274992151732791,0.8957856730824133,0.9960419445793764,0.0009957466298967058,0.9930052496205094,0.7224294180213232,0.029546008841696936,0.6361588284990143,1.0,0.0,1.0,1.179135051643243e-05,4.898887289883322e-07,1.0774978818517411e-05,1.0,0.0,1.0
exact,four obstacles,ID,16,0.932691935905388,0.014254599015425515,0.9016803341969295,0.9959695477590462,0.001040760842428741,0.993152769073421,0.7259382725186699,0.03925757425183874,0.6316964285714286,1.0,0.0,1.0,1.5430946916694666e-05,6.505340959842872e-07,1.4244539670471568e-05,1.0,0.0,1.0
exact,heteroscedastic noise,OOD noise,16,0.9509930293689571,0.01637294484981762,0.9084719147524396,0.9979453386833788,0.0008027679131070762,0.9954673354489395,0.7833499760498622,0.0391092476892169,0.699812382739212,1.0,0.0,1.0,1.6527504783425684e-05,5.970240597612387e-07,1.5023467767605325e-05,1.0,0.0,1.0
exact,mirrored kites,lsmlab-inspired,16,0.934759568647469,0.012765575464630828,0.8975353221847485,0.9980392310678656,0.0005815314323609666,0.9960000134921537,0.7431878454973997,0.023692411974403214,0.7008928571428572,1.0,0.0,1.0,2.27036348405818e-05,1.0940529993543288e-06,2.095487252518069e-05,1.0,0.0,1.0
exact,one obstacle,ID,16,0.9885861187423687,0.010236321693351983,0.9582178932178932,0.9998626890991619,0.00012357226070610304,0.9994702851030455,0.928456510809452,0.056244125086767335,0.7712418300653594,1.0,0.0,1.0,5.02818686527462e-05,8.090629718226296e-07,4.8418674850836396e-05,1.0,0.0,1.0
exact,six obstacles,OOD count,16,0.7805131161679111,0.029267280704798233,0.7183938161352004,0.9764880153461843,0.005191720163128389,0.9623879766083936,0.5239807750958267,0.03860482800508831,0.4407982261640798,1.0,0.0,1.0,1.1233649786390743e-05,5.575694359975185e-07,1.0233939519821433e-05,0.3125,0.23456964140030284,0.0
exact,three obstacles,ID,16,0.9351863400994123,0.014916015192498142,0.8975911192747099,0.997088443269061,0.0007618086485942264,0.9950605811365443,0.7285177349855849,0.041278157302136805,0.6299145299145299,1.0,0.0,1.0,1.7291071230829402e-05,6.238356280122286e-07,1.5729548977105878e-05,1.0,0.0,1.0
exact,three stars,OOD shape,16,0.853318478317352,0.017792253453427723,0.8128090424670018,0.9920841133598302,0.0016790627538333183,0.9880084090156321,0.5963894116775623,0.0277933308752383,0.5382751937984496,1.0,0.0,1.0,1.6885399588772998e-05,7.099181610445459e-07,1.4993571767263347e-05,1.0,0.0,1.0
exact,two crescents,OOD shape,16,0.7054711555319515,0.05622353943315591,0.5741344298883888,0.9946004024347036,0.001105231453823461,0.9921294288899901,0.48621296081014753,0.04998756589043256,0.36231884057971014,1.0,0.0,1.0,2.302549842170265e-05,1.126182166853742e-06,2.0455464436963666e-05,0.25,0.21913466179497937,0.0
