seed,budget,design,predictor,weighted_mse,se,episodes
1,2,learned,looped_icl,0.5478215217590332,0.004954682197421789,5120
1,2,learned,exact_krr,0.5426293611526489,0.004943391308188438,5120
1,2,uniform,looped_icl,0.6768133640289307,0.006206439342349768,5120
1,2,uniform,exact_krr,0.6760243773460388,0.006202146876603365,5120
1,2,greedy_variance,looped_icl,0.5304535031318665,0.004823619965463877,5120
1,2,greedy_variance,exact_krr,0.5261942744255066,0.004808031488209963,5120
1,2,random,looped_icl,0.7243602871894836,0.007555897813290358,5120
1,2,random,exact_krr,0.7227216362953186,0.007556190714240074,5120
1,4,learned,looped_icl,0.3397524356842041,0.0036432002671062946,5120
1,4,learned,exact_krr,0.33828672766685486,0.0036359538789838552,5120
1,4,uniform,looped_icl,0.5038495659828186,0.004998620133846998,5120
1,4,uniform,exact_krr,0.5025854110717773,0.004995259456336498,5120
1,4,greedy_variance,looped_icl,0.26734834909439087,0.0024197548627853394,5120
1,4,greedy_variance,exact_krr,0.2651247978210449,0.0024124791380017996,5120
1,4,random,looped_icl,0.5020696520805359,0.0057563791051507,5120
1,4,random,exact_krr,0.49939122796058655,0.005737357772886753,5120
1,6,learned,looped_icl,0.19664689898490906,0.0018708148272708058,5120
1,6,learned,exact_krr,0.19160227477550507,0.0018510794034227729,5120
1,6,uniform,looped_icl,0.31802916526794434,0.0036498266272246838,5120
1,6,uniform,exact_krr,0.3164908289909363,0.0036465039011090994,5120
1,6,greedy_variance,looped_icl,0.14248020946979523,0.0012980734463781118,5120
1,6,greedy_variance,exact_krr,0.13959021866321564,0.0012925365008413792,5120
1,6,random,looped_icl,0.3376084864139557,0.004442981909960508,5120
1,6,random,exact_krr,0.3337275981903076,0.004398219287395477,5120
1,8,learned,looped_icl,0.18569085001945496,0.0017935533542186022,5120
1,8,learned,exact_krr,0.17962023615837097,0.0017607868649065495,5120
1,8,uniform,looped_icl,0.14850394427776337,0.0021348632872104645,5120
1,8,uniform,exact_krr,0.14742355048656464,0.0021345678251236677,5120
1,8,greedy_variance,looped_icl,0.061255812644958496,0.000596689700614661,5120
1,8,greedy_variance,exact_krr,0.059682052582502365,0.00058918003924191,5120
1,8,random,looped_icl,0.2335497885942459,0.003601136151701212,5120
1,8,random,exact_krr,0.22704462707042694,0.003542618826031685,5120
