seed,budget,design,predictor,weighted_mse,se,episodes
4,2,learned,looped_icl,0.5601906776428223,0.004977055359631777,5120
4,2,learned,exact_krr,0.5548686981201172,0.004959228914231062,5120
4,2,uniform,looped_icl,0.6718937754631042,0.006066104397177696,5120
4,2,uniform,exact_krr,0.6702156662940979,0.0060576749965548515,5120
4,2,greedy_variance,looped_icl,0.5239490270614624,0.0047495425678789616,5120
4,2,greedy_variance,exact_krr,0.5167561769485474,0.0047173816710710526,5120
4,2,random,looped_icl,0.7100169062614441,0.007370338309556246,5120
4,2,random,exact_krr,0.7079087495803833,0.0073754312470555305,5120
4,4,learned,looped_icl,0.316937118768692,0.0029116931837052107,5120
4,4,learned,exact_krr,0.3130294680595398,0.002902229316532612,5120
4,4,uniform,looped_icl,0.5026397705078125,0.004941581282764673,5120
4,4,uniform,exact_krr,0.5019346475601196,0.0049397144466638565,5120
4,4,greedy_variance,looped_icl,0.26740673184394836,0.0024082388263195753,5120
4,4,greedy_variance,exact_krr,0.265473335981369,0.0024021402932703495,5120
4,4,random,looped_icl,0.498076856136322,0.005589000415056944,5120
4,4,random,exact_krr,0.4955419600009918,0.005577689502388239,5120
4,6,learned,looped_icl,0.1506955772638321,0.0014841377269476652,5120
4,6,learned,exact_krr,0.15037040412425995,0.0014829288702458143,5120
4,6,uniform,looped_icl,0.3218524158000946,0.003700714325532317,5120
4,6,uniform,exact_krr,0.3207195997238159,0.003692643018439412,5120
4,6,greedy_variance,looped_icl,0.13913293182849884,0.0012894778046756983,5120
4,6,greedy_variance,exact_krr,0.137273371219635,0.001287322724238038,5120
4,6,random,looped_icl,0.33619025349617004,0.0046116868034005165,5120
4,6,random,exact_krr,0.33208173513412476,0.0045731207355856895,5120
4,8,learned,looped_icl,0.05683011934161186,0.0004980605444870889,5120
4,8,learned,exact_krr,0.05557645484805107,0.0004954762407578528,5120
4,8,uniform,looped_icl,0.1520729809999466,0.002162885619327426,5120
4,8,uniform,exact_krr,0.15136998891830444,0.002159896306693554,5120
4,8,greedy_variance,looped_icl,0.0610724575817585,0.0005913340137340128,5120
4,8,greedy_variance,exact_krr,0.06013122946023941,0.0005870505119673908,5120
4,8,random,looped_icl,0.241873100399971,0.003699278924614191,5120
4,8,random,exact_krr,0.23575448989868164,0.0036526622716337442,5120
